Struttura trapianto,Cuore,Cuore - fegato,Cuore - polmone doppio,Rene - cuore,Totale Trapianti
"TO - AOU Città della Salute, PO OIRM",6,0,0,0,6
"TO - AOU Città della Salute, PO S.G.Battista",20,0,0,1,21
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,22,0,0,0,22
MI - AO NIGUARDA CA' GRANDA - MILANO,29,0,0,0,29
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,15,0,0,0,15
PD - AZIENDA OSPEDALIERA DI PADOVA,19,0,0,0,19
VR - OSPEDALE CIVILE MAGGIORE - VERONA,10,0,0,0,10
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,19,0,0,1,20
BO - S.ORSOLA-MALPIGHI - BO,15,1,0,1,17
SI - A.O.U. SENESE - S.M. alle SCOTTE,12,0,0,0,12
RM - A.O. SAN CAMILLO - FORLANINI,16,0,0,0,16
RM - OSPEDALE PEDIATRICO BAMBINO GESU',9,0,1,0,10
NA - A. O. MONALDI,14,0,0,0,14
BA - AOU CONSORZIALE POLICLINICO di BARI,3,0,0,0,3
CT - AZ.OSP. V.EMANUELE FERRAROTTO S.BAMBINO,1,0,0,0,1
PA - Is.Me.T.T.,5,0,0,0,5
CA - AZIENDA OSPEDALIERA G. BROTZU,6,0,0,0,6
Totale,221,1,1,3,226
