Struttura trapianto,Cuore,Cuore - polmone doppio,Rene - cuore,Totale Trapianti
"TO - AOU Città della Salute, PO OIRM",4,0,0,4
"TO - AOU Città della Salute, PO S.G.Battista",20,0,0,20
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,19,0,1,20
MI - AO NIGUARDA CA' GRANDA - MILANO,29,0,0,29
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,14,0,0,14
PD - AZIENDA OSPEDALIERA DI PADOVA,40,0,0,40
VR - OSPEDALE CIVILE MAGGIORE - VERONA,16,0,1,17
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,26,0,1,27
BO - S.ORSOLA-MALPIGHI - BO,20,0,0,20
SI - A.O.U. SENESE - S.M. alle SCOTTE,10,0,0,10
RM - A.O. SAN CAMILLO - FORLANINI,14,0,0,14
RM - OSPEDALE PEDIATRICO BAMBINO GESU',11,1,0,12
NA - A. O. MONALDI,12,0,0,12
BA - AOU CONSORZIALE POLICLINICO di BARI,7,0,0,7
PA - Is.Me.T.T.,15,0,1,16
CA - AZIENDA OSPEDALIERA G. BROTZU,3,0,0,3
Totale,260,1,4,265
