Struttura trapianto,Rene,Rene doppio,Rene - fegato,Rene - pancreas,Rene - cuore,Totale Trapianti
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,63,5,0,0,0,68
"TO - AOU Città della Salute, PO OIRM",6,0,0,0,0,6
"TO - AOU Città della Salute, PO S.G.Battista",114,3,4,4,0,125
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,36,4,1,3,0,44
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,40,0,0,0,0,40
MI - AO NIGUARDA CA' GRANDA - MILANO,46,14,1,2,0,63
MI - IRCCS S. RAFFAELE - MILANO,18,3,0,7,0,28
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,39,0,4,0,0,43
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,25,0,0,0,0,25
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,41,1,0,0,0,42
PD - AZIENDA OSPEDALIERA DI PADOVA,64,11,0,9,0,84
TV - OSPEDALE CA' FONCELLO - TREVISO,33,2,0,0,0,35
VI - OSPEDALE DI VICENZA,20,5,0,0,0,25
VR - OSPEDALE CIVILE MAGGIORE - VERONA,62,18,0,0,0,80
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,33,0,1,0,1,35
GE - A.O.U. S. MARTINO - GENOVA,50,4,0,1,0,55
BO - S.ORSOLA-MALPIGHI - BO,47,3,4,0,1,55
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,21,2,2,0,0,25
PR - OSPEDALE MAGGIORE - PARMA,42,1,0,2,0,45
FI - A.O.U. CAREGGI - FIRENZE,26,0,0,0,0,26
PI - A.O.U. PISANA,22,3,0,7,0,32
SI - A.O.U. SENESE - S.M. alle SCOTTE,36,1,0,0,0,37
PG - AZIENDA OSPEDALIERA DI PERUGIA,12,0,0,0,0,12
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,33,0,1,0,0,34
RM - A.O. SAN CAMILLO - FORLANINI,32,3,0,2,0,37
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,39,2,1,0,0,42
RM - OSPEDALE PEDIATRICO BAMBINO GESU',13,0,0,0,0,13
RM - POLICLINICO UMBERTO I - ROMA,21,0,3,0,0,24
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",6,0,0,0,0,6
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,26,0,0,0,0,26
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,16,0,0,0,0,16
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,27,0,0,0,0,27
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,19,0,0,0,0,19
BA - AOU CONSORZIALE POLICLINICO di BARI,36,1,0,0,0,37
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,13,0,0,0,0,13
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,15,0,0,0,0,15
CT - A.O. UNIVERSITARIA DI CATANIA,38,1,0,0,0,39
PA - Is.Me.T.T.,18,6,1,2,0,27
PA - P.O. CIVICO E BENFRATELLI,60,0,0,0,0,60
CA - AZIENDA OSPEDALIERA G. BROTZU,26,3,1,4,0,34
Totale,1334,96,24,43,2,1499
