Struttura trapianto,Cuore,Cuore - polmone doppio,Rene - cuore,Totale Trapianti
"TO - AOU Città della Salute, PO OIRM",3,0,0,3
"TO - AOU Città della Salute, PO S.G.Battista",15,1,0,16
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,14,0,0,14
MI - AO NIGUARDA CA' GRANDA - MILANO,22,0,0,22
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,13,2,0,15
PD - AZIENDA OSPEDALIERA DI PADOVA,22,0,0,22
VR - OSPEDALE CIVILE MAGGIORE - VERONA,16,0,0,16
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,21,0,1,22
BO - S.ORSOLA-MALPIGHI - BO,19,0,1,20
SI - A.O.U. SENESE - S.M. alle SCOTTE,13,0,0,13
RM - A.O. SAN CAMILLO - FORLANINI,4,0,0,4
RM - OSPEDALE PEDIATRICO BAMBINO GESU',6,0,0,6
NA - A. O. MONALDI,26,0,0,26
BA - AOU CONSORZIALE POLICLINICO di BARI,5,0,0,5
CT - AZ.OSP. V.EMANUELE FERRAROTTO S.BAMBINO,2,0,0,2
PA - Is.Me.T.T.,8,0,0,8
CA - AZIENDA OSPEDALIERA G. BROTZU,5,0,0,5
Totale,214,3,2,219
