Struttura trapianto,Polmone,Polmone doppio,Fegato - polmone doppio,Cuore - polmone doppio,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",0,17,1,1,19
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,6,5,0,0,11
MI - AO NIGUARDA CA' GRANDA - MILANO,1,3,0,0,4
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,9,15,0,0,24
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,1,4,0,2,7
PD - AZIENDA OSPEDALIERA DI PADOVA,3,21,0,0,24
BO - S.ORSOLA-MALPIGHI - BO,3,7,0,0,10
SI - A.O.U. SENESE - S.M. alle SCOTTE,3,10,0,0,13
RM - OSPEDALE PEDIATRICO BAMBINO GESU',0,2,0,0,2
RM - POLICLINICO UMBERTO I - ROMA,11,6,0,0,17
PA - Is.Me.T.T.,1,9,0,0,10
Totale,38,99,1,3,141
