Struttura trapianto,Polmone,Polmone doppio,Fegato - polmone doppio,Cuore - polmone doppio,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",5,12,1,1,19
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,1,9,0,0,10
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,2,22,0,0,24
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,1,4,0,0,5
PD - AZIENDA OSPEDALIERA DI PADOVA,2,39,0,0,41
BO - S.ORSOLA-MALPIGHI - BO,0,9,0,0,9
SI - A.O.U. SENESE - S.M. alle SCOTTE,4,10,0,0,14
RM - OSPEDALE PEDIATRICO BAMBINO GESU',0,1,0,1,2
RM - POLICLINICO UMBERTO I - ROMA,1,3,0,0,4
PA - Is.Me.T.T.,5,6,0,0,11
Totale,21,115,1,2,139
