Struttura trapianto,Rene,Rene doppio,Rene - fegato,Rene - pancreas,Rene - cuore,Totale Trapianti
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,31,2,0,0,0,33
"TO - AOU Città della Salute, PO OIRM",3,0,0,0,0,3
"TO - AOU Città della Salute, PO S.G.Battista",152,9,8,3,0,172
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,33,2,3,0,0,38
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,45,6,0,0,0,51
MI - AO NIGUARDA CA' GRANDA - MILANO,99,12,4,8,0,123
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,60,1,0,0,0,61
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,25,0,0,0,0,25
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,28,1,0,0,0,29
PD - AZIENDA OSPEDALIERA DI PADOVA,117,21,0,8,1,147
TV - OSPEDALE CA' FONCELLO - TREVISO,24,0,0,0,0,24
VI - OSPEDALE DI VICENZA,21,2,0,0,0,23
VR - OSPEDALE CIVILE MAGGIORE - VERONA,74,12,1,0,0,87
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,47,1,0,0,0,48
UD - POLICLINICO UNIVERSITARIO,1,0,0,0,0,1
GE - A.O.U. S. MARTINO - GENOVA,43,0,0,0,0,43
BO - S.ORSOLA-MALPIGHI - BO,51,24,5,0,2,82
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,25,5,3,0,0,33
PR - OSPEDALE MAGGIORE - PARMA,40,13,0,2,0,55
FI - A.O.U. CAREGGI - FIRENZE,42,0,0,0,0,42
PI - A.O.U. PISANA,36,4,0,6,0,46
SI - A.O.U. SENESE - S.M. alle SCOTTE,29,1,0,0,0,30
PG - AZIENDA OSPEDALIERA DI PERUGIA,7,0,0,0,0,7
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,57,0,1,0,0,58
RM - A.O. SAN CAMILLO - FORLANINI,34,0,0,5,0,39
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,41,1,0,0,0,42
RM - OSPEDALE PEDIATRICO BAMBINO GESU',16,0,2,0,0,18
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",9,0,0,0,0,9
RM - POLICLINICO UMBERTO I - ROMA,15,0,0,0,0,15
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,20,0,0,0,0,20
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,27,0,0,0,0,27
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,39,0,0,0,0,39
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,32,0,0,0,0,32
BA - AOU CONSORZIALE POLICLINICO di BARI,50,10,0,0,0,60
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,11,0,0,0,0,11
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,17,0,0,0,0,17
CT - A.O. UNIVERSITARIA DI CATANIA,11,0,0,0,0,11
PA - Is.Me.T.T.,41,0,0,0,0,41
PA - P.O. CIVICO E BENFRATELLI,23,0,0,0,0,23
CA - AZIENDA OSPEDALIERA G. BROTZU,34,0,0,0,0,34
Totale,1510,127,27,32,3,1699
