Struttura trapianto,Cuore,Cuore - polmone doppio,Rene - cuore,Totale Trapianti
"TO - AOU Città della Salute, PO OIRM",2,0,0,2
"TO - AOU Città della Salute, PO S.G.Battista",24,0,0,24
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,10,0,0,10
MI - AO NIGUARDA CA' GRANDA - MILANO,23,0,0,23
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,8,0,0,8
PD - AZIENDA OSPEDALIERA DI PADOVA,37,0,0,37
VR - OSPEDALE CIVILE MAGGIORE - VERONA,12,0,0,12
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,21,0,0,21
BO - S.ORSOLA-MALPIGHI - BO,24,0,0,24
SI - A.O.U. SENESE - S.M. alle SCOTTE,16,0,0,16
RM - A.O. SAN CAMILLO - FORLANINI,7,0,0,7
RM - OSPEDALE PEDIATRICO BAMBINO GESU',7,1,0,8
NA - A. O. MONALDI,23,0,0,23
BA - AOU CONSORZIALE POLICLINICO di BARI,6,0,0,6
PA - Is.Me.T.T.,11,0,1,12
CA - AZIENDA OSPEDALIERA G. BROTZU,5,0,0,5
Totale,236,1,1,238
