Struttura trapianto,Cuore,Cuore - polmone doppio,Rene - cuore,Totale Trapianti
"TO - AOU Città della Salute, PO OIRM",2,0,0,2
"TO - AOU Città della Salute, PO S.G.Battista",16,0,0,16
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,18,0,0,18
MI - AO NIGUARDA CA' GRANDA - MILANO,31,0,0,31
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,13,0,0,13
PD - AZIENDA OSPEDALIERA DI PADOVA,30,0,0,30
VR - OSPEDALE CIVILE MAGGIORE - VERONA,16,0,0,16
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,23,0,1,24
BO - S.ORSOLA-MALPIGHI - BO,17,0,0,17
SI - A.O.U. SENESE - S.M. alle SCOTTE,9,0,0,9
RM - A.O. SAN CAMILLO - FORLANINI,7,0,0,7
RM - OSPEDALE PEDIATRICO BAMBINO GESU',9,1,0,10
NA - A. O. MONALDI,15,0,0,15
BA - AOU CONSORZIALE POLICLINICO di BARI,11,0,0,11
PA - Is.Me.T.T.,12,0,0,12
CA - AZIENDA OSPEDALIERA G. BROTZU,2,0,0,2
Totale,231,1,1,233
