Struttura trapianto,Cuore,Cuore - polmone doppio,Rene - cuore,Totale Trapianti
"TO - AOU Città della Salute, PO OIRM",4,0,0,4
"TO - AOU Città della Salute, PO S.G.Battista",20,1,2,23
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,15,0,0,15
MI - AO NIGUARDA CA' GRANDA - MILANO,26,0,0,26
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,12,0,0,12
PD - AZIENDA OSPEDALIERA DI PADOVA,26,0,0,26
VR - OSPEDALE CIVILE MAGGIORE - VERONA,19,0,0,19
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,17,0,0,17
BO - S.ORSOLA-MALPIGHI - BO,30,0,1,31
SI - A.O.U. SENESE - S.M. alle SCOTTE,12,0,0,12
RM - A.O. SAN CAMILLO - FORLANINI,8,0,1,9
RM - OSPEDALE PEDIATRICO BAMBINO GESU',9,0,0,9
NA - A. O. MONALDI,19,0,0,19
BA - AOU CONSORZIALE POLICLINICO di BARI,9,0,0,9
PA - Is.Me.T.T.,16,0,0,16
CA - AZIENDA OSPEDALIERA G. BROTZU,5,0,0,5
Totale,247,1,4,252
