Struttura trapianto,Polmone,Polmone doppio,Fegato - pancreas - polmone doppio,Cuore - polmone doppio,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",2,20,1,4,27
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,0,12,0,0,12
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,3,30,0,0,33
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,2,7,0,1,10
PD - AZIENDA OSPEDALIERA DI PADOVA,1,53,0,0,54
BO - S.ORSOLA-MALPIGHI - BO,0,14,0,0,14
SI - A.O.U. SENESE - S.M. alle SCOTTE,1,19,0,0,20
RM - POLICLINICO UMBERTO I - ROMA,3,1,0,0,4
PA - Is.Me.T.T.,3,11,0,0,14
Totale,15,167,1,5,188
