Struttura trapianto,Rene,Rene doppio,Rene - fegato,Rene - pancreas,Rene - cuore,Totale Trapianti
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,55,3,0,0,0,58
"TO - AOU Città della Salute, PO OIRM",4,0,0,0,0,4
"TO - AOU Città della Salute, PO S.G.Battista",196,9,6,3,0,214
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,36,6,2,0,0,44
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,66,6,0,0,0,72
MI - AO NIGUARDA CA' GRANDA - MILANO,100,15,3,7,0,125
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,58,1,1,0,0,60
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,25,0,0,0,0,25
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,32,5,0,0,0,37
PD - AZIENDA OSPEDALIERA DI PADOVA,144,10,0,14,0,168
TV - OSPEDALE CA' FONCELLO - TREVISO,54,4,0,0,0,58
VI - OSPEDALE DI VICENZA,36,4,0,0,0,40
VR - OSPEDALE CIVILE MAGGIORE - VERONA,84,9,0,0,0,93
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,52,1,0,0,1,54
GE - A.O.U. S. MARTINO - GENOVA,43,0,0,0,0,43
BO - S.ORSOLA-MALPIGHI - BO,68,21,11,0,0,100
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,25,1,5,0,0,31
PR - OSPEDALE MAGGIORE - PARMA,40,14,0,0,0,54
FI - A.O.U. CAREGGI - FIRENZE,56,0,0,0,0,56
PI - A.O.U. PISANA,22,3,0,2,0,27
SI - A.O.U. SENESE - S.M. alle SCOTTE,34,0,0,0,0,34
PG - AZIENDA OSPEDALIERA DI PERUGIA,6,0,0,0,0,6
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,46,0,2,0,0,48
RM - A.O. SAN CAMILLO - FORLANINI,29,0,0,3,0,32
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,42,2,0,0,0,44
RM - OSPEDALE PEDIATRICO BAMBINO GESU',29,0,3,0,1,33
RM - POLICLINICO UMBERTO I - ROMA,11,0,0,0,0,11
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,43,0,0,0,0,43
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,33,0,0,0,0,33
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,16,1,0,0,0,17
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,17,0,0,0,0,17
BA - AOU CONSORZIALE POLICLINICO di BARI,54,14,0,0,0,68
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,10,0,0,0,0,10
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,23,0,0,0,0,23
CT - A.O. UNIVERSITARIA DI CATANIA,18,0,0,0,0,18
PA - Is.Me.T.T.,45,0,1,1,0,47
PA - P.O. CIVICO E BENFRATELLI,19,0,0,0,0,19
CA - AZIENDA OSPEDALIERA G. BROTZU,30,0,2,0,0,32
Totale,1701,129,36,30,2,1898
