Struttura trapianto,Cuore,Cuore - polmone doppio,Rene - cuore,Totale Trapianti
"TO - AOU Città della Salute, PO OIRM",6,0,0,6
"TO - AOU Città della Salute, PO S.G.Battista",23,4,0,27
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,21,0,0,21
MI - AO NIGUARDA CA' GRANDA - MILANO,19,0,0,19
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,13,1,0,14
PD - AZIENDA OSPEDALIERA DI PADOVA,50,0,0,50
VR - OSPEDALE CIVILE MAGGIORE - VERONA,22,0,0,22
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,22,0,1,23
BO - S.ORSOLA-MALPIGHI - BO,50,0,0,50
SI - A.O.U. SENESE - S.M. alle SCOTTE,18,0,0,18
RM - A.O. SAN CAMILLO - FORLANINI,13,0,0,13
RM - OSPEDALE PEDIATRICO BAMBINO GESU',7,0,1,8
NA - A. O. MONALDI,15,0,0,15
BA - AOU CONSORZIALE POLICLINICO di BARI,61,0,0,61
PA - Is.Me.T.T.,16,0,0,16
CA - AZIENDA OSPEDALIERA G. BROTZU,7,0,0,7
Totale,363,5,2,370
