Struttura trapianto,Cuore,Cuore - fegato,Cuore - polmone doppio,Rene - cuore,Totale Trapianti
"TO - AOU Città della Salute, PO OIRM",3,0,0,0,3
"TO - AOU Città della Salute, PO S.G.Battista",25,0,0,0,25
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,20,0,0,0,20
MI - AO NIGUARDA CA' GRANDA - MILANO,23,0,0,0,23
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,22,0,0,0,22
PD - AZIENDA OSPEDALIERA DI PADOVA,21,0,0,0,21
VR - OSPEDALE CIVILE MAGGIORE - VERONA,15,0,0,0,15
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,26,0,0,0,26
BO - S.ORSOLA-MALPIGHI - BO,28,3,0,1,32
SI - A.O.U. SENESE - S.M. alle SCOTTE,15,0,0,0,15
RM - A.O. SAN CAMILLO - FORLANINI,14,0,0,0,14
RM - OSPEDALE PEDIATRICO BAMBINO GESU',11,0,1,0,12
NA - A. O. MONALDI,23,0,0,0,23
BA - AOU CONSORZIALE POLICLINICO di BARI,5,0,0,0,5
PA - Is.Me.T.T.,12,0,0,0,12
CA - AZIENDA OSPEDALIERA G. BROTZU,10,0,0,0,10
Totale,273,3,1,1,278
