Struttura trapianto,Rene,Rene doppio,Rene - fegato,Rene - pancreas,Rene - cuore,Totale Trapianti
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,61,2,0,0,0,63
"TO - AOU Città della Salute, PO OIRM",6,0,0,0,0,6
"TO - AOU Città della Salute, PO S.G.Battista",87,2,5,1,0,95
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,33,7,2,0,0,42
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,54,0,0,0,0,54
MI - AO NIGUARDA CA' GRANDA - MILANO,45,7,1,2,0,55
MI - IRCCS S. RAFFAELE - MILANO,28,2,0,6,0,36
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,49,0,2,0,0,51
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,28,0,0,0,0,28
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,47,0,0,0,0,47
PD - AZIENDA OSPEDALIERA DI PADOVA,68,12,0,7,0,87
TV - OSPEDALE CA' FONCELLO - TREVISO,39,4,0,0,0,43
VI - OSPEDALE DI VICENZA,21,4,0,0,0,25
VR - OSPEDALE CIVILE MAGGIORE - VERONA,46,21,0,0,0,67
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,49,4,0,1,0,54
UD - POLICLINICO UNIVERSITARIO,0,0,1,0,0,1
GE - A.O.U. S. MARTINO - GENOVA,49,6,0,0,0,55
BO - S.ORSOLA-MALPIGHI - BO,42,3,4,0,1,50
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,28,0,1,0,0,29
PR - OSPEDALE MAGGIORE - PARMA,33,0,0,3,0,36
FI - A.O.U. CAREGGI - FIRENZE,40,0,0,0,0,40
PI - A.O.U. PISANA,14,4,1,11,0,30
SI - A.O.U. SENESE - S.M. alle SCOTTE,49,5,0,0,0,54
PG - AZIENDA OSPEDALIERA DI PERUGIA,14,0,0,0,0,14
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,33,0,0,0,0,33
RM - A.O. SAN CAMILLO - FORLANINI,30,5,0,3,0,38
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,30,2,1,0,0,33
RM - OSPEDALE PEDIATRICO BAMBINO GESU',7,1,2,0,0,10
RM - POLICLINICO UMBERTO I - ROMA,18,0,1,0,0,19
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",6,0,0,0,0,6
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,32,0,0,0,0,32
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,18,0,0,0,0,18
NA - AZIENDA OSPEDALIERA A. CARDARELLI,0,0,1,0,0,1
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,16,1,0,0,0,17
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,42,0,0,0,0,42
BA - AOU CONSORZIALE POLICLINICO di BARI,37,6,0,0,0,43
"LE - AZIENDA OSPEDALIERA ""VITO FAZZI """,9,0,0,0,0,9
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,13,0,0,0,0,13
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,14,0,0,0,0,14
CT - A.O. UNIVERSITARIA DI CATANIA,33,2,0,1,0,36
PA - Is.Me.T.T.,16,4,0,2,0,22
PA - P.O. CIVICO E BENFRATELLI,36,0,0,0,0,36
CA - AZIENDA OSPEDALIERA G. BROTZU,45,4,0,4,0,53
SS - OSPEDALE S.S. ANNUNZIATA SASSARI,1,0,0,0,0,1
Totale,1366,108,22,41,1,1538
